country,confirm,heal,dead,healRate,deadRate
乌干达,1075,958,0,89.12,0.00
新加坡,48744,44584,27,91.47,0.06
卡塔尔,107871,104641,163,97.01,0.15
尼泊尔,18094,12684,42,70.10,0.23
卢旺达,1655,848,5,51.24,0.30
巴林,37316,33455,130,89.65,0.35
斯里兰卡,2730,2064,11,75.60,0.40
马尔代夫,3044,2397,15,78.75,0.49
阿曼,71547,47922,349,66.98,0.49
纳米比亚,1366,57,7,4.17,0.51
