nation,day,day7,rate
哥斯达黎加,8482,5486,54.61
马达加斯加,5343,3573,49.54
纳米比亚,864,593,45.70
南非,298292,215855,38.19
埃塞俄比亚,7969,5846,36.32
斯威士兰,1434,1056,35.80
津巴布韦,1064,787,35.20
吉尔吉斯斯坦,11444,8486,34.86
巴勒斯坦,6764,5029,34.50
黑山,1287,960,34.06
