nation,day,day7,rate
日本本土,4257,2178,95.45
马达加斯加,5080,3250,56.31
被占巴勒斯坦领土,7441,4786,55.47
黑山,1287,841,53.03
哥斯达黎加,7596,4996,52.04
利比亚,1512,1046,44.55
刚果（布）,2222,1557,42.71
吉尔吉斯斯坦,11538,8141,41.73
津巴布韦,1034,734,40.87
南非,287796,205721,39.90
