country,confirm,heal,dead,healRate,deadRate
瑞典,78504,0,5667,0.00,7.22
塞尔维亚,21605,0,491,0.00,2.27
荷兰,52475,194,6158,0.37,11.74
英国,297389,1414,45507,0.48,15.30
纳米比亚,1366,57,7,4.17,0.51
洪都拉斯,35345,4144,988,11.72,2.80
黑山,2381,426,35,17.89,1.47
巴勒斯坦,9398,1932,64,20.56,0.68
利比亚,2088,479,50,22.94,2.39
刚果（布）,2851,666,50,23.36,1.75
