country,confirm,heal,dead,healRate,deadRate
冰岛,1840,1822,10,99.02,0.54
吉布提,5030,4904,58,97.50,1.15
卡塔尔,107871,104641,163,97.01,0.15
马来西亚,8831,8566,123,97.00,1.39
新西兰,1555,1506,22,96.85,1.41
泰国,3261,3105,58,95.22,1.78
古巴,2449,2321,87,94.77,3.55
爱沙尼亚,2025,1912,69,94.42,3.41
芬兰,7362,6880,328,93.45,4.46
约旦,1113,1034,11,92.90,0.99
