name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
陕西,3,322,0,3,0.93,316,98.14
境外输入,3,77,0,0,0.00,74,96.10
韩城,0,1,0,0,0.00,1,100.00
渭南,0,15,0,0,0.00,15,100.00
咸阳,0,17,0,0,0.00,17,100.00
西安,0,120,0,3,2.50,117,97.50
汉中,0,26,0,0,0.00,26,100.00
杨凌,0,1,0,0,0.00,1,100.00
地区待确认,0,0,0,0,0.00,0,0.00
榆林,0,3,0,0,0.00,3,100.00
商洛,0,7,0,0,0.00,7,100.00
铜川,0,8,0,0,0.00,8,100.00
延安,0,8,0,0,0.00,8,100.00
宝鸡,0,13,0,0,0.00,13,100.00
安康,0,26,0,0,0.00,26,100.00
