name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
湖南,0,1019,0,4,0.39,1015,99.61
境外输入,0,1,0,0,0.00,1,100.00
湘西自治州,0,8,0,0,0.00,8,100.00
娄底,0,76,0,0,0.00,76,100.00
怀化,0,40,0,0,0.00,40,100.00
永州,0,44,0,0,0.00,44,100.00
郴州,0,39,0,0,0.00,39,100.00
益阳,0,60,0,0,0.00,60,100.00
张家界,0,5,0,0,0.00,5,100.00
常德,0,82,0,0,0.00,82,100.00
岳阳,0,156,0,1,0.64,155,99.36
邵阳,0,102,0,1,0.98,101,99.02
湘潭,0,36,0,0,0.00,36,100.00
株洲,0,80,0,0,0.00,80,100.00
衡阳,0,48,0,0,0.00,48,100.00
长沙,0,242,0,2,0.83,240,99.17
